Lat,Vel,VOR,Type,Dir,Loc
11,107.792445591518,-0.876446114112507,E,L,2
16,110.582624162946,-0.882737561686803,E,L,2
NaN,84.4464983258929,NaN,E,L,2
11,126.320975167411,-0.866939762755779,E,L,2
19,129.056658063616,-0.943912736580322,E,L,2
9,111.301967075893,-0.867666534830156,E,L,2
17,100.217546735491,-0.891848186327674,E,L,2
15,103.650774274554,-0.831776989536197,E,L,2
9,106.353759765625,-0.882154473044047,E,L,2
15,115.901402064732,-0.858563928084187,E,L,2
NaN,128.33731515067,NaN,E,L,2
14,99.2039271763393,-0.97280115888879,E,L,2
17,99.2911202566964,-0.900314378405627,E,L,2
26,140.021187918527,-0.718127584492297,E,L,2
9,110.255650111607,-0.960105001050716,E,L,2
18,139.60702078683,-0.945606788727802,E,L,2
NaN,91.6072300502232,NaN,E,L,2
15,117.296491350446,-0.919197230720004,E,L,2
18,127.5634765625,-0.848735620309546,E,L,2
9,131.628853934152,-0.90837705334038,E,L,2
NaN,104.413713727679,NaN,E,L,2
18,109.765189034598,-0.872158080352018,E,L,2
3,119.966779436384,-0.819279812512002,E,L,2
16,104.457310267857,-1.05402460867167,E,L,2
NaN,114.593505859375,NaN,E,L,2
26,-79.3348039899554,-0.947393227485115,H,R,2
34,-63.6073521205357,-0.931911181711092,H,R,2
22,-107.72705078125,-0.903227866352493,H,R,2
21,-105.634416852679,-0.93873653504667,H,R,2
13,-109.874180385045,-0.827204753221267,H,R,2
23,-75.1386369977679,-0.902608857333808,H,R,2
20,-87.4546595982143,-0.882686436172605,H,R,2
22,-95.2911376953125,-0.892345697499556,H,R,2
10,-116.511753627232,-0.770255718083326,H,R,2
16,-117.02401297433,-0.856403895634667,H,R,2
17,-109.601702008929,-0.891811765524141,H,R,2
19,-85.5800083705357,-0.893063328026919,H,R,2
5,-152.021135602679,-0.836875037781285,H,R,2
20,-90.4628208705357,-0.911730175567091,H,R,2
42,-47.6510184151786,NaN,H,R,2
5,-131.465366908482,-0.78049976199312,H,R,2
7,-146.113804408482,-0.740059488842455,H,R,2
17,-85.5037144252232,-0.700743127574619,H,R,2
20,-95.1930454799107,-0.892385457105995,H,R,2
12,-125.514439174107,-1.04560974662228,H,R,2
21,-87.1930803571429,-0.855493900899726,H,R,2
13,-142.201014927455,-0.750026189811483,H,R,2
25,-91.4110456194196,-0.959554248994479,H,R,2
22,-93.0895124162946,-0.861468287635595,H,R,2
12,-133.132934570313,-0.905256988460344,H,R,2
15,-104.827880859375,-0.877410702466024,H,R,2
23,-96.6862269810268,-0.896663950329376,H,R,2
27,-83.6399623325893,-0.719558873408442,H,R,2
17,-91.6617257254464,-0.91799593535255,H,R,2
33,-111.258370535714,-0.834761280539193,H,R,2
28,-68.9370291573661,-0.875323825947611,H,R,2
15,-96.5227399553571,-0.836272996864256,H,R,2
32,88.8606480189732,-0.947393227485115,E,R,2
43,69.2095075334821,-0.931911181711092,E,R,2
27,115.955897739955,-0.903227866352493,E,R,2
25,117.983136858259,-0.93873653504667,E,R,2
24,113.721575055804,-0.827204753221267,E,R,2
33,87.3565673828125,-0.902608857333808,E,R,2
