H,E,Dir,Loc
13,14,L,10
14,6,L,10
10,16,L,10
12,18,L,10
10,10,L,10
14,0,L,10
18,NaN,L,10
11,15,L,10
12,16,L,10
13,17,L,10
11,12,L,10
14,11,L,10
13,13,L,10
16,18,L,10
15,14,L,10
16,9,L,10
19,17,L,10
14,15,L,10
14,11,L,10
13,19,L,10
15,11,L,10
19,NaN,L,10
15,9,L,10
16,78,L,10
11,12,L,10
14,17,L,10
15,21,L,10
15,18,L,10
12,15,L,10
13,14,L,10
15,21,L,10
13,NaN,L,10
15,13,L,10
12,15,L,10
14,NaN,L,10
17,9,L,10
17,NaN,L,10
18,10,R,10
20,20,R,10
15,26,R,10
19,24,R,10
18,19,R,10
18,27,R,10
18,28,R,10
12,11,R,10
17,26,R,10
16,10,R,10
17,23,R,10
18,18,R,10
18,15,R,10
17,33,R,10
21,17,R,10
20,18,R,10
18,14,R,10
18,28,R,10
16,22,R,10
18,10,R,10
19,11,R,10
17,13,R,10
19,20,R,10
19,17,R,10
18,23,R,10
21,16,R,10
18,16,R,10
17,35,R,10
20,17,R,10
16,15,R,10
19,17,R,10
22,16,R,10
17,15,R,10
18,19,R,10
18,23,R,10
18,19,R,10
20,29,R,10
19,13,R,10
19,24,R,10
15,22,R,10
15,23,R,10
18,16,R,10
17,40,R,10
20,24,R,10
19,6,R,10
19,22,R,10
18,35,R,10
15,23,R,10
18,NaN,R,10
20,25,R,10
19,19,R,10
17,27,R,10
18,22,R,10
18,27,R,10
20,36,R,10
20,23,R,10
19,19,R,10
14,13,R,10
18,30,R,10
15,14,R,10
21,20,R,10
22,22,R,10
18,61,R,10
12,18,R,10
15,18,R,10
35,40,L,11
19,31,L,11
21,18,L,11
59,55,L,11
20,12,L,11
46,108,R,11
54,57,R,11
42,46,R,11
36,39,R,11
38,49,R,11
36,39,R,11
45,57,R,11
28,35,R,11
34,37,R,11
35,46,R,11
NaN,54,R,11
24,28,S,1
24,31,S,1
22,39,S,1
23,27,S,1
24,32,S,1
22,21,S,1
23,31,S,1
21,0,S,2
21,22,S,2
20,69,S,2
23,13,S,2
20,20,S,2
18,NaN,S,2
22,22,S,2
22,22,S,2
24,24,S,3
24,27,S,3
23,25,S,3
21,22,S,3
21,22,S,3
21,16,S,3
24,26,S,3
21,17,S,3
21,20,S,3
24,28,S,3
28,30,S,4
27,22,S,4
29,31,S,4
32,22,S,4
23,19,S,4
30,25,S,4
23,19,S,4
27,24,S,4
24,19,S,4
32,32,S,4
29,32,S,4
23,19,S,4
28,33,S,4
30,32,S,4
25,14,S,4
32,35,S,4
25,17,S,4
16,17,S,4
26,23,S,4
24,24,S,4
30,34,S,4
31,27,S,4
31,37,S,4
32,29,S,4
13,4,S,5
21,24,S,5
18,NaN,S,5
21,22,S,5
18,21,S,5
22,22,S,5
20,NaN,S,5
21,24,S,5
21,12,S,5
22,26,S,5
17,12,S,5
19,22,S,5
19,22,S,5
21,30,S,6
12,4,S,6
18,23,S,6
4,NaN,S,6
29,28,S,6
20,12,S,6
22,24,S,6
19,19,S,6
25,30,S,6
19,0,S,6
24,25,S,6
16,16,S,6
22,23,S,6
19,NaN,S,6
22,7,S,7
24,35,S,7
23,25,S,7
25,20,S,7
25,25,S,7
27,21,S,7
26,18,S,7
26,18,S,7
26,25,S,7
23,28,S,7
25,20,S,7
22,32,S,8
23,27,S,8
20,22,S,8
19,22,S,8
21,25,S,8
20,25,S,8
18,20,S,8
20,20,S,8
18,NaN,S,8
22,26,S,8
20,24,S,8
22,25,S,8
20,24,S,8
19,5,S,9
22,21,S,9
23,23,S,9
23,26,S,9
19,19,S,9
22,23,S,9
17,22,S,9
19,17,S,9
19,17,S,9
19,15,S,9
19,14,S,9
21,8,S,9
20,19,S,9
17,9,S,9
21,18,S,9
19,42,S,9
20,17,S,9
23,14,S,10
24,20,S,10
23,17,S,10
23,15,S,10
22,19,S,10
21,18,S,10
21,17,S,10
19,19,S,10
24,19,S,10
20,NaN,S,10
21,17,S,10
20,10,S,10
23,19,S,10
21,20,S,10
22,20,S,10
21,12,S,10
20,16,S,10
21,NaN,S,10
21,15,S,10
24,18,S,10
22,19,S,10
22,10,S,10
19,13,S,10
21,NaN,S,10
21,58,S,10
23,21,S,10
34,32,S,11
35,36,S,11
19,29,S,11
